Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
I51781,AirAsia India,Guwahati ,GAU,T2,Bengaluru,BLR,11:45:00,2023-10-07,11:45:00,2023-10-07,A20N
UK801,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,11:50:00,2023-10-07,11:50:00,2023-10-07,320
6E2069,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,12:05:00,2023-10-07,11:55:00,2023-10-07,32N
6E6892,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,12:15:00,2023-10-07,12:05:00,2023-10-07,32N
9I502,Alliance Air,Vijayawada ,VGA,T1,Bengaluru,BLR,12:10:00,2023-10-07,12:10:00,2023-10-07,AT7
I51453,AirAsia India,Kolkata ,CCU,T2,Bengaluru,BLR,12:10:00,2023-10-07,12:10:00,2023-10-07,A320
I51426,AirAsia India,Lucknow ,LKO,T2,Bengaluru,BLR,12:25:00,2023-10-07,12:25:00,2023-10-07,A320
6E445,IndiGo,Bagdogra ,IXB,T1,Bengaluru,BLR,12:35:00,2023-10-07,12:25:00,2023-10-07,32A
SG328,SpiceJet,Kolkata ,CCU,T1,Bengaluru,BLR,12:30:00,2023-10-07,12:30:00,2023-10-07,737
I51529,AirAsia India,Hyderabad ,HYD,T2,Bengaluru,BLR,12:30:00,2023-10-07,12:30:00,2023-10-07,A320
AI506,Air India,Delhi ,DEL,T2,Bengaluru,BLR,12:30:00,2023-10-07,12:30:00,2023-10-07,32N
6E6523,IndiGo,Ahmedabad ,AMD,T1,Bengaluru,BLR,12:40:00,2023-10-07,12:30:00,2023-10-07,32N
6E172,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,12:40:00,2023-10-07,12:30:00,2023-10-07,32A
6E7286,IndiGo,Belgaum ,IXG,T1,Bengaluru,BLR,12:50:00,2023-10-07,12:40:00,2023-10-07,AT7
6E196,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,12:50:00,2023-10-07,12:40:00,2023-10-07,32N
6E661,IndiGo,Thiruvananthapuram ,TRV,T1,Bengaluru,BLR,12:50:00,2023-10-07,12:40:00,2023-10-07,32N
SG2928,SpiceJet,Gwalior ,GWL,T1,Bengaluru,BLR,12:50:00,2023-10-07,12:50:00,2023-10-07,DH8
6E5069,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,13:00:00,2023-10-07,12:50:00,2023-10-07,32Q
6E6567,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,13:10:00,2023-10-07,13:00:00,2023-10-07,32Q
6E6584,IndiGo,Goa ,GOX,T1,Bengaluru,BLR,13:25:00,2023-10-07,13:15:00,2023-10-07,32Q
6E6797,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,13:35:00,2023-10-07,13:25:00,2023-10-07,32Q
I5972,AirAsia India,Kochi ,COK,T2,Bengaluru,BLR,13:30:00,2023-10-07,13:30:00,2023-10-07,A320
6E7223,IndiGo,Madurai ,IXM,T1,Bengaluru,BLR,13:40:00,2023-10-07,13:30:00,2023-10-07,AT7
QP1373,Akasa Air,Bagdogra ,IXB,T1,Bengaluru,BLR,13:45:00,2023-10-07,13:35:00,2023-10-07,7M8
S5132,Star Air,Jamnagar ,JGA,T2,Bengaluru,BLR,13:50:00,2023-10-07,13:40:00,2023-10-07,ER4
6E6379,IndiGo,Prayagraj ,IXD,T1,Bengaluru,BLR,13:50:00,2023-10-07,13:40:00,2023-10-07,32Q
IX1613,Air India Express,Jaipur ,JAI,T2,Bengaluru,BLR,13:50:00,2023-10-07,13:50:00,2023-10-07,738
6E6162,IndiGo,Patna ,PAT,T1,Bengaluru,BLR,14:05:00,2023-10-07,13:55:00,2023-10-07,32N
WY283,Oman Air,Muscat ,MCT,T2,Bengaluru,BLR,14:05:00,2023-10-07,13:55:00,2023-10-07,332
AI601,Air India,Mumbai ,BOM,T2,Bengaluru,BLR,14:00:00,2023-10-07,14:00:00,2023-10-07,NA
6E5382,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,14:15:00,2023-10-07,14:05:00,2023-10-07,32Q
I5820,AirAsia India,Ranchi ,IXR,T2,Bengaluru,BLR,14:10:00,2023-10-07,14:10:00,2023-10-07,A20N
9I506,Alliance Air,Agatti ,AGX,T1,Bengaluru,BLR,14:20:00,2023-10-07,14:20:00,2023-10-07,AT7
6E1056,IndiGo,Bangkok ,BKK,T2,Bengaluru,BLR,14:30:00,2023-10-07,14:20:00,2023-10-07,32Q
S5118,Star Air,Kalaburagi ,GBI,T2,Bengaluru,BLR,14:30:00,2023-10-07,14:20:00,2023-10-07,ER4
6E7072,IndiGo,Vijayawada ,VGA,T1,Bengaluru,BLR,14:35:00,2023-10-07,14:25:00,2023-10-07,AT7
6E6383,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,14:40:00,2023-10-07,14:30:00,2023-10-07,32Q
6E6147,IndiGo,Thiruvananthapuram ,TRV,T1,Bengaluru,BLR,14:45:00,2023-10-07,14:35:00,2023-10-07,32A
SG497,SpiceJet,Patna ,PAT,T1,Bengaluru,BLR,14:40:00,2023-10-07,14:40:00,2023-10-07,737
6E6609,IndiGo,Shirdi ,SAG,T1,Bengaluru,BLR,15:00:00,2023-10-07,14:50:00,2023-10-07,32N
QP1625,Akasa Air,Lucknow ,LKO,T1,Bengaluru,BLR,15:10:00,2023-10-07,15:00:00,2023-10-07,7M8
6E6605,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,15:10:00,2023-10-07,15:00:00,2023-10-07,32Q
I51983,AirAsia India,Bagdogra ,IXB,T2,Bengaluru,BLR,15:05:00,2023-10-07,15:05:00,2023-10-07,A320
6E455,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,15:20:00,2023-10-07,15:10:00,2023-10-07,32Q
6E6992,IndiGo,Durgapur ,RDP,T1,Bengaluru,BLR,15:25:00,2023-10-07,15:15:00,2023-10-07,32Q
QF67,Qantas Airways,Sydney ,SYD,T2,Bengaluru,BLR,15:20:00,2023-10-07,15:20:00,2023-10-07,332
