Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Gate,Terminal,Arrival,ARR_CODE,
QF68,Qantas Airways,"17:10   07, Oct.","17:10   07, Oct.",Bengaluru,(BLR),,T2,Sydney  ,SYD,
AI503,Air India,"17:15   07, Oct.","17:15   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
6E6628,IndiGo,"17:20   07, Oct.","17:20   07, Oct.",Bengaluru,(BLR),,,Thiruvananthapuram  ,TRV,
6E7226,IndiGo,"17:20   07, Oct.","17:20   07, Oct.",Bengaluru,(BLR),,,Belgaum  ,IXG,
6E356,IndiGo,"17:30   07, Oct.","17:30   07, Oct.",Bengaluru,(BLR),,,Chennai  ,MAA,
RA226,Nepal Airlines,"17:30   07, Oct.","17:30   07, Oct.",Bengaluru,(BLR),,T2,Kathmandu  ,KTM,
6E218,IndiGo,"17:35   07, Oct.","17:35   07, Oct.",Bengaluru,(BLR),,,Bhopal  ,BHO,
6E6091,IndiGo,"17:40   07, Oct.","17:40   07, Oct.",Bengaluru,(BLR),,,Ranchi  ,IXR,
6E6243,IndiGo,"17:45   07, Oct.","17:45   07, Oct.",Bengaluru,(BLR),,,Kolkata  ,CCU,
UK820,Vistara,"17:50   07, Oct.","17:50   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
6E5255,IndiGo,"18:00   07, Oct.","18:00   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E2174,IndiGo,"18:00   07, Oct.","18:00   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E968,IndiGo,"18:05   07, Oct.","18:05   07, Oct.",Bengaluru,(BLR),,,Varanasi  ,VNS,
UK508,Vistara,"18:05   07, Oct.","18:05   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
6E6145,IndiGo,"18:15   07, Oct.","18:15   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
9I521,Alliance Air,"18:15   07, Oct.","18:15   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
6E6017,IndiGo,"18:20   07, Oct.","18:20   07, Oct.",Bengaluru,(BLR),,,Chennai  ,MAA,
UK854,Vistara,"18:25   07, Oct.","18:25   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
UK893,Vistara,"18:30   07, Oct.","18:30   07, Oct.",Bengaluru,(BLR),,T2,Hyderabad  ,HYD,
6E6885,IndiGo,"18:35   07, Oct.","18:35   07, Oct.",Bengaluru,(BLR),,,Pune  ,PNQ,
6E411,IndiGo,"18:40   07, Oct.","18:40   07, Oct.",Bengaluru,(BLR),,,Bhubaneswar  ,BBI,
6E564,IndiGo,"18:45   07, Oct.","18:45   07, Oct.",Bengaluru,(BLR),,,Kozhikode  ,CCJ,
UK802,Vistara,"18:45   07, Oct.","18:45   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
QP1550,Akasa Air,"18:50   07, Oct.","18:50   07, Oct.",Bengaluru,(BLR),,,Pune  ,PNQ,
QP1368,Akasa Air,"18:55   07, Oct.","18:55   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
6E7134,IndiGo,"18:55   07, Oct.","18:55   07, Oct.",Bengaluru,(BLR),,,Vijayawada  ,VGA,
6E638,IndiGo,"19:00   07, Oct.","19:00   07, Oct.",Bengaluru,(BLR),,,Hyderabad  ,HYD,
UK864,Vistara,"19:00   07, Oct.","19:00   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
I51532,AirAsia India,"19:10   07, Oct.","19:10   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
AI509,Air India,"19:15   07, Oct.","19:15   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
9I517,Alliance Air,"19:20   07, Oct.","19:20   07, Oct.",Bengaluru,(BLR),,,Hyderabad  ,HYD,
AI610,Air India,"19:20   07, Oct.","19:20   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
6E735,IndiGo,"19:20   07, Oct.","19:20   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E7385,IndiGo,"19:30   07, Oct.","19:30   07, Oct.",Bengaluru,(BLR),,,Madurai  ,IXM,
6E5376,IndiGo,"19:30   07, Oct.","19:30   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E451,IndiGo,"19:35   07, Oct.","19:35   07, Oct.",Bengaluru,(BLR),,,Lucknow  ,LKO,
UK818,Vistara,"19:40   07, Oct.","19:40   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
6E486,IndiGo,"19:45   07, Oct.","19:45   07, Oct.",Bengaluru,(BLR),,,Nagpur  ,NAG,
