Time,Flight_no,Departure,Airlines ,Aircraft
20:05:00,6E979,Raipur (RPR),IndiGo,32Q
20:10:00,UL171,Colombo (CMB),SriLankan Airlines,320
20:10:00,6E7451,Vijayawada (VGA),IndiGo,AT7
20:15:00,AI807,Delhi (DEL),Air India,319
20:15:00,6E5067,Mumbai (BOM),IndiGo,32Q
20:20:00,6E189,Chennai (MAA),IndiGo,32Q
20:25:00,AI641,Mumbai (BOM),Air India,320
20:30:00,UK813,Delhi (DEL),Vistara,320
20:30:00,6E6055,Pune (PNQ),IndiGo,32N
20:35:00,QP1306,Mumbai (BOM),Akasa Air,7M8
20:35:00,6E691,Thiruvananthapuram (TRV),IndiGo,32Q
20:35:00,6E776,Visakhapatnam (VTZ),IndiGo,32A
20:40:00,I5974,Hyderabad (HYD),AIX Connect,320
20:40:00,6E7239,Belgaum (IXG),IndiGo,AT7
20:45:00,I52991,Bhubaneswar (BBI),AIX Connect,320
20:50:00,9I548,Goa (GOI),Alliance Air,AT7
20:55:00,I51427,Pune (PNQ),AIX Connect,320
20:55:00,UK865,Mumbai (BOM),Vistara,320
20:55:00,6E556,Jaipur (JAI),IndiGo,32A
21:00:00,6E6251,Kolkata (CCU),IndiGo,32Q
21:05:00,6E6922,Cochin (COK),IndiGo,32N
21:10:00,6E316,Guwahati (GAU),IndiGo,32A
21:15:00,6E2244,Mumbai (BOM),IndiGo,32Q
21:20:00,599999999999999987770226501252229102664277671120104991240579271374469072871336666021702867666237591047161506834977743271330105855241828156911336867952047435162585312965186335550759501824,Patna (PAT),IndiGo,32N
21:25:00,S5152,Hyderabad (HYD),Star Air,ER4
21:25:00,S5207,Hyderabad (HYD),Star Air,ERJ
21:30:00,I5554,Kolkata (CCU),AIX Connect,320
21:40:00,UK894,Hyderabad (HYD),Vistara,320
21:45:00,I5670,Mumbai (BOM),AIX Connect,320
21:45:00,UK507,Mumbai (BOM),Vistara,320
21:50:00,SQ510,Singapore (SIN),Singapore Airlines,359
21:50:00,6E6622,Delhi (DEL),IndiGo,32Q
21:55:00,QP1369,Cochin (COK),Akasa Air,7M8
21:55:00,9I522,Cochin (COK),Alliance Air,AT7
22:00:00,6E378,Kozhikode (CCJ),IndiGo,32N
22:00:00,6E6481,Ahmedabad (AMD),IndiGo,32Q
22:05:00,6E214,Bhopal (BHO),IndiGo,32N
22:05:00,6E5256,Mumbai (BOM),IndiGo,32N
22:10:00,6E6886,Pune (PNQ),IndiGo,32N
22:15:00,I51518,Hyderabad (HYD),AIX Connect,320
22:15:00,QP1341,Mumbai (BOM),Akasa Air,7M8
22:25:00,QP1135,Guwahati (GAU),Akasa Air,7M8
22:25:00,6E6314,Kolkata (CCU),IndiGo,32N
22:25:00,QP1551,Pune (PNQ),Akasa Air,7M8
22:30:00,6E593,Chandigarh (IXC),IndiGo,32A
22:30:00,6E5355,Coimbatore (CJB),IndiGo,32Q
22:35:00,AI512,Delhi (DEL),Air India,319
22:35:00,I5992,Cochin (COK),AIX Connect,320
22:35:00,SG457,Mumbai (BOM),SpiceJet,737
22:40:00,FD137,Bangkok (DMK),Thai AirAsia,320
22:40:00,IX1229,Hyderabad (HYD),Air India Express,738
22:40:00,UK809,Delhi (DEL),Vistara,320
22:40:00,6E472,Cochin (COK),IndiGo,32N
22:45:00,6E6859,Mangalore (IXE),IndiGo,32A
22:50:00,6E7389,Madurai (IXM),IndiGo,AT7
22:55:00,QP1424,Varanasi (VNS),Akasa Air,7M8
22:55:00,6E7378,Hubli (HBX),IndiGo,AT7
23:00:00,6E7133,Vijayawada (VGA),IndiGo,AT7
23:05:00,6E2302,Delhi (DEL),IndiGo,32Q
23:05:00,6E5385,Chennai (MAA),IndiGo,32Q
23:05:00,6E7447,Kannur (CNN),IndiGo,AT7
23:10:00,6E611,Bhubaneswar (BBI),IndiGo,32N
23:10:00,6E6298,Goa (GOI),IndiGo,32A
23:15:00,I5821,Chennai (MAA),AIX Connect,320
23:15:00,UK857,Mumbai (BOM),Vistara,320
23:15:00,6E5388,Mumbai (BOM),IndiGo,32N
23:20:00,QP1326,Ahmedabad (AMD),Akasa Air,7M8
23:20:00,UK807,Delhi (DEL),Vistara,320
23:25:00,TG325,Bangkok (BKK),Thai Airways,359
23:30:00,AF194,Paris (CDG),Air France,332
23:35:00,I51569,Surat (STV),AIX Connect,320
23:35:00,QP1350,Delhi (DEL),Akasa Air,7M8
23:40:00,MH192,Kuala Lumpur (KUL),Malaysia Airlines,738
23:40:00,6E499,Varanasi (VNS),IndiGo,32Q
23:40:00,6E2338,Delhi (DEL),IndiGo,32N
23:45:00,BZ102,Chennai (MAA),Blue Dart Aviation,757
23:45:00,6E7166,Tiruchirapalli (TRZ),IndiGo,AT7
23:50:00,6E487,Kolkata (CCU),IndiGo,32A
23:55:00,6E6803,Nagpur (NAG),IndiGo,32Q
