Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_Time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
6E6491,IndiGo,Bengaluru,BLR,T1,Hyderabad ,HYD,12:40:00,2023-10-07,12:40:00,2023-10-07,32N
UK881,Vistara,Bengaluru,BLR,T2,Goa ,GOI,12:45:00,2023-10-07,12:45:00,2023-10-07,320
6E465,IndiGo,Bengaluru,BLR,T1,Surat ,STV,12:50:00,2023-10-07,12:50:00,2023-10-07,NA
I51454,AirAsia India,Bengaluru,BLR,T2,Goa ,GOI,12:50:00,2023-10-07,12:50:00,2023-10-07,A320
I51426,AirAsia India,Bengaluru,BLR,T2,Jaipur ,JAI,13:00:00,2023-10-07,13:00:00,2023-10-07,A320
6E746,IndiGo,Bengaluru,BLR,T1,Goa ,GOI,13:00:00,2023-10-07,13:00:00,2023-10-07,32N
6E1127,IndiGo,Bengaluru,BLR,T2,Male ,MLE,13:05:00,2023-10-07,13:05:00,2023-10-07,32Q
6E7181,IndiGo,Bengaluru,BLR,T1,Thoothukudi ,TCR,13:15:00,2023-10-07,13:15:00,2023-10-07,AT7
6E852,IndiGo,Bengaluru,BLR,T1,Dehradun ,DED,13:15:00,2023-10-07,13:15:00,2023-10-07,32A
AI501,Air India,Bengaluru,BLR,T2,Delhi ,DEL,13:15:00,2023-10-07,13:15:00,2023-10-07,32N
SG495,SpiceJet,Bengaluru,BLR,T1,Darbhanga ,DBR,13:25:00,2023-10-07,13:25:00,2023-10-07,7M8
6E172,IndiGo,Bengaluru,BLR,T1,Kolkata ,CCU,13:30:00,2023-10-07,13:30:00,2023-10-07,32A
6E6753,IndiGo,Bengaluru,BLR,T1,Nagpur ,NAG,13:30:00,2023-10-07,13:30:00,2023-10-07,32N
6E196,IndiGo,Bengaluru,BLR,T1,Lucknow ,LKO,13:35:00,2023-10-07,13:35:00,2023-10-07,32N
6E7267,IndiGo,Bengaluru,BLR,T1,Tiruchirappalli ,TRZ,13:40:00,2023-10-07,13:40:00,2023-10-07,AT7
6E5134,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,13:45:00,2023-10-07,13:45:00,2023-10-07,32Q
SG4005,SpiceJet,Bengaluru,BLR,T1,Shirdi ,SAG,13:45:00,2023-10-07,13:45:00,2023-10-07,DH8
6E2401,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,13:50:00,2023-10-07,13:50:00,2023-10-07,32Q
6E516,IndiGo,Bengaluru,BLR,T1,Aurangabad ,IXU,14:00:00,2023-10-07,14:00:00,2023-10-07,32N
I5972,AirAsia India,Bengaluru,BLR,T2,Goa ,GOI,14:05:00,2023-10-07,14:05:00,2023-10-07,A320
UK511,Vistara,Bengaluru,BLR,T2,Goa ,GOX,14:05:00,2023-10-07,14:05:00,2023-10-07,320
6E602,IndiGo,Bengaluru,BLR,T1,Kochi ,COK,14:10:00,2023-10-07,14:10:00,2023-10-07,32Q
QP1392,Akasa Air,Bengaluru,BLR,T1,Goa ,GOX,14:10:00,2023-10-07,14:10:00,2023-10-07,7M8
6E687,IndiGo,Bengaluru,BLR,T1,Udaipur ,UDR,14:15:00,2023-10-07,14:15:00,2023-10-07,32Q
6E7223,IndiGo,Bengaluru,BLR,T1,Vijayawada ,VGA,14:15:00,2023-10-07,14:15:00,2023-10-07,AT7
I51782,AirAsia India,Bengaluru,BLR,T2,Bhubaneswar ,BBI,14:20:00,2023-10-07,14:20:00,2023-10-07,A20N
IX1228,Air India Express,Bengaluru,BLR,T2,Jaipur ,JAI,14:25:00,2023-10-07,14:25:00,2023-10-07,738
I5613,AirAsia India,Bengaluru,BLR,T2,Delhi ,DEL,14:25:00,2023-10-07,14:25:00,2023-10-07,A320
QP1377,Akasa Air,Bengaluru,BLR,T1,Guwahati ,GAU,14:30:00,2023-10-07,14:30:00,2023-10-07,7M8
S5131,Star Air,Bengaluru,BLR,T2,Jamnagar ,JGA,14:35:00,2023-10-07,14:35:00,2023-10-07,ER4
